Japanese government data,,,,,HMD Cause of death data,,,,,Differences in rate
agegroup,sex,year,rate,,agegroup,sex,year,rate,,Diff
total ,both,2000,24.1,,total,both,2000,24.4,,0.3
total ,both,2001,23.3,,total,both,2001,23.7,,0.4
total ,both,2002,23.8,,total,both,2002,24.1,,0.3
total ,both,2003,25.5,,total,both,2003,25.8,,0.3
total ,both,2004,24,,total,both,2004,24.3,,0.3
total ,both,2005,24.2,,total,both,2005,24.6,,0.4
total ,both,2006,23.7,,total,both,2006,24.2,,0.5
total ,both,2007,24.4,,total,both,2007,24.9,,0.5
total ,both,2008,24,,total,both,2008,24.5,,0.5
total ,both,2009,24.4,,total,both,2009,24.9,,0.5
total ,both,2010,23.4,,total,both,2010,24.1,,0.7
total ,both,2011,22.9,,total,both,2011,23.6,,0.7
total ,both,2012,21,,total,both,2012,21.7,,0.7
total ,both,2013,20.7,,total,both,2013,21.4,,0.7
total ,both,2014,19.5,,total,both,2014,20.2,,0.7
total ,both,2015,18.5,,total,both,2015,19.2,,0.7
total ,both,2016,16.8,,total,both,2016,17.5,,0.7
total ,both,2017,16.4,,total,both,2017,17.2,,0.8
total ,both,2018,16.1,,total,both,2018,16.9,,0.8
total ,both,2019,15.7,,total,both,2019,16.5,,0.8
10 to 14,both,2000,1.1,,10 to 14,both,2000,1.1,,0
10 to 14,both,2001,0.9,,10 to 14,both,2001,1,,0.1
10 to 14,both,2002,0.6,,10 to 14,both,2002,0.6,,0
10 to 14,both,2003,1.1,,10 to 14,both,2003,1.1,,0
10 to 14,both,2004,0.8,,10 to 14,both,2004,0.8,,0
10 to 14,both,2005,0.7,,10 to 14,both,2005,0.7,,0
10 to 14,both,2006,1.3,,10 to 14,both,2006,1.3,,0
10 to 14,both,2007,0.8,,10 to 14,both,2007,0.8,,0
10 to 14,both,2008,1,,10 to 14,both,2008,1,,0
10 to 14,both,2009,0.9,,10 to 14,both,2009,0.9,,0
10 to 14,both,2010,1.1,,10 to 14,both,2010,1.1,,0
10 to 14,both,2011,1.3,,10 to 14,both,2011,1.3,,0
10 to 14,both,2012,1.3,,10 to 14,both,2012,1.3,,0
10 to 14,both,2013,1.6,,10 to 14,both,2013,1.6,,0
10 to 14,both,2014,1.8,,10 to 14,both,2014,1.8,,0
10 to 14,both,2015,1.6,,10 to 14,both,2015,1.6,,0
10 to 14,both,2016,1.3,,10 to 14,both,2016,1.3,,0
10 to 14,both,2017,1.9,,10 to 14,both,2017,1.9,,0
10 to 14,both,2018,1.9,,10 to 14,both,2018,1.9,,0
10 to 14,both,2019,1.7,,10 to 14,both,2019,1.7,,0
15 to 19,both,2000,6.4,,15 to 19,both,2000,6.5,,0.1
15 to 19,both,2001,6.6,,15 to 19,both,2001,6.7,,0.1
15 to 19,both,2002,5.8,,15 to 19,both,2002,5.9,,0.1
15 to 19,both,2003,7.3,,15 to 19,both,2003,7.4,,0.1
15 to 19,both,2004,7.5,,15 to 19,both,2004,7.6,,0.1
15 to 19,both,2005,7.8,,15 to 19,both,2005,7.9,,0.1
15 to 19,both,2006,7.9,,15 to 19,both,2006,8,,0.1
15 to 19,both,2007,7.3,,15 to 19,both,2007,7.5,,0.2
15 to 19,both,2008,8.3,,15 to 19,both,2008,8.5,,0.2
15 to 19,both,2009,7.6,,15 to 19,both,2009,7.9,,0.3
15 to 19,both,2010,7.5,,15 to 19,both,2010,7.7,,0.2
15 to 19,both,2011,8.5,,15 to 19,both,2011,8.7,,0.2
15 to 19,both,2012,8.5,,15 to 19,both,2012,8.7,,0.2
15 to 19,both,2013,7.6,,15 to 19,both,2013,7.8,,0.2
15 to 19,both,2014,7.3,,15 to 19,both,2014,7.4,,0.1
15 to 19,both,2015,7.5,,15 to 19,both,2015,7.6,,0.1
15 to 19,both,2016,7.2,,15 to 19,both,2016,7.4,,0.2
15 to 19,both,2017,7.8,,15 to 19,both,2017,8,,0.2
15 to 19,both,2018,8.7,,15 to 19,both,2018,8.9,,0.2
15 to 19,both,2019,9.9,,15 to 19,both,2019,10,,0.1
20 to 24,both,2000,16,,20 to 24,both,2000,16.3,,0.3
20 to 24,both,2001,14.8,,20 to 24,both,2001,15,,0.2
20 to 24,both,2002,15.1,,20 to 24,both,2002,15.5,,0.4
20 to 24,both,2003,15.8,,20 to 24,both,2003,16.3,,0.5
20 to 24,both,2004,17.5,,20 to 24,both,2004,18.2,,0.7
20 to 24,both,2005,19.1,,20 to 24,both,2005,19.4,,0.3
20 to 24,both,2006,19.6,,20 to 24,both,2006,20,,0.4
20 to 24,both,2007,19.8,,20 to 24,both,2007,20.4,,0.6
20 to 24,both,2008,21.7,,20 to 24,both,2008,22.5,,0.8
20 to 24,both,2009,22.1,,20 to 24,both,2009,22.9,,0.8
20 to 24,both,2010,21.8,,20 to 24,both,2010,22.2,,0.4
20 to 24,both,2011,22.9,,20 to 24,both,2011,23.4,,0.5
20 to 24,both,2012,21,,20 to 24,both,2012,21.8,,0.8
20 to 24,both,2013,20.9,,20 to 24,both,2013,21.4,,0.5
20 to 24,both,2014,19.7,,20 to 24,both,2014,20.6,,0.9
20 to 24,both,2015,17.9,,20 to 24,both,2015,18.5,,0.6
20 to 24,both,2016,17,,20 to 24,both,2016,17.5,,0.5
20 to 24,both,2017,17.8,,20 to 24,both,2017,18.3,,0.5
20 to 24,both,2018,17.5,,20 to 24,both,2018,18.2,,0.7
20 to 24,both,2019,17.4,,20 to 24,both,2019,18.1,,0.7
25 to 29 ,both,2000,18.1,,25 to 29,both,2000,18.5,,0.4
25 to 29 ,both,2001,17.9,,25 to 29,both,2001,18.3,,0.4
25 to 29 ,both,2002,17.3,,25 to 29,both,2002,17.6,,0.3
25 to 29 ,both,2003,21,,25 to 29,both,2003,21.3,,0.3
25 to 29 ,both,2004,20,,25 to 29,both,2004,20.5,,0.5
25 to 29 ,both,2005,22,,25 to 29,both,2005,22.3,,0.3
25 to 29 ,both,2006,22.8,,25 to 29,both,2006,23.2,,0.4
25 to 29 ,both,2007,21.6,,25 to 29,both,2007,21.9,,0.3
25 to 29 ,both,2008,23.1,,25 to 29,both,2008,23.6,,0.5
25 to 29 ,both,2009,23.9,,25 to 29,both,2009,24.6,,0.7
25 to 29 ,both,2010,22.8,,25 to 29,both,2010,23.4,,0.6
25 to 29 ,both,2011,24.1,,25 to 29,both,2011,24.7,,0.6
25 to 29 ,both,2012,23.2,,25 to 29,both,2012,23.8,,0.6
25 to 29 ,both,2013,21.4,,25 to 29,both,2013,21.9,,0.5
25 to 29 ,both,2014,22,,25 to 29,both,2014,22.5,,0.5
25 to 29 ,both,2015,19.6,,25 to 29,both,2015,20.2,,0.6
25 to 29 ,both,2016,19,,25 to 29,both,2016,19.7,,0.7
25 to 29 ,both,2017,17.5,,25 to 29,both,2017,18.2,,0.7
25 to 29 ,both,2018,18,,25 to 29,both,2018,18.6,,0.6
25 to 29 ,both,2019,16.9,,25 to 29,both,2019,17.4,,0.5
30 to 34,both,2000,20.2,,30 to 34,both,2000,20.6,,0.4
30 to 34,both,2001,18.6,,30 to 34,both,2001,19.4,,0.8
30 to 34,both,2002,19.9,,30 to 34,both,2002,20.6,,0.7
30 to 34,both,2003,22.9,,30 to 34,both,2003,23.6,,0.7
30 to 34,both,2004,21.3,,30 to 34,both,2004,22.1,,0.8
30 to 34,both,2005,23.1,,30 to 34,both,2005,23.7,,0.6
30 to 34,both,2006,21.4,,30 to 34,both,2006,21.9,,0.5
30 to 34,both,2007,22.4,,30 to 34,both,2007,22.7,,0.3
30 to 34,both,2008,24.5,,30 to 34,both,2008,24.7,,0.2
30 to 34,both,2009,23.9,,30 to 34,both,2009,24.3,,0.4
30 to 34,both,2010,23.4,,30 to 34,both,2010,24.1,,0.7
30 to 34,both,2011,23.2,,30 to 34,both,2011,23.8,,0.6
30 to 34,both,2012,20.8,,30 to 34,both,2012,21.3,,0.5
30 to 34,both,2013,21.5,,30 to 34,both,2013,22,,0.5
30 to 34,both,2014,20.9,,30 to 34,both,2014,21.5,,0.6
30 to 34,both,2015,19.5,,30 to 34,both,2015,20.1,,0.6
30 to 34,both,2016,17.8,,30 to 34,both,2016,18.5,,0.7
30 to 34,both,2017,18.6,,30 to 34,both,2017,19.4,,0.8
30 to 34,both,2018,18.5,,30 to 34,both,2018,19,,0.5
30 to 34,both,2019,17.7,,30 to 34,both,2019,18.3,,0.6
35 to 39,both,2000,21.5,,35 to 39,both,2000,22.4,,0.9
35 to 39,both,2001,21.5,,35 to 39,both,2001,22,,0.5
35 to 39,both,2002,21.8,,35 to 39,both,2002,22.5,,0.7
35 to 39,both,2003,25.1,,35 to 39,both,2003,25.9,,0.8
35 to 39,both,2004,23.3,,35 to 39,both,2004,24,,0.7
35 to 39,both,2005,24.4,,35 to 39,both,2005,24.9,,0.5
35 to 39,both,2006,23.7,,35 to 39,both,2006,24.6,,0.9
35 to 39,both,2007,25.4,,35 to 39,both,2007,26.3,,0.9
35 to 39,both,2008,25,,35 to 39,both,2008,25.8,,0.8
35 to 39,both,2009,25.9,,35 to 39,both,2009,26.7,,0.8
35 to 39,both,2010,24.2,,35 to 39,both,2010,25.2,,1
35 to 39,both,2011,24.8,,35 to 39,both,2011,25.7,,0.9
35 to 39,both,2012,21.5,,35 to 39,both,2012,22.2,,0.7
35 to 39,both,2013,22.2,,35 to 39,both,2013,22.8,,0.6
35 to 39,both,2014,20.7,,35 to 39,both,2014,21.3,,0.6
35 to 39,both,2015,19.1,,35 to 39,both,2015,19.7,,0.6
35 to 39,both,2016,18.2,,35 to 39,both,2016,18.9,,0.7
35 to 39,both,2017,17.8,,35 to 39,both,2017,18.5,,0.7
35 to 39,both,2018,17.2,,35 to 39,both,2018,17.8,,0.6
35 to 39,both,2019,17.6,,35 to 39,both,2019,18.2,,0.6
40 to 44,both,2000,23.7,,40 to 44,both,2000,24.2,,0.5
40 to 44,both,2001,25.1,,40 to 44,both,2001,25.7,,0.6
40 to 44,both,2002,26.2,,40 to 44,both,2002,27,,0.8
40 to 44,both,2003,30.4,,40 to 44,both,2003,31.2,,0.8
40 to 44,both,2004,28.4,,40 to 44,both,2004,29.2,,0.8
40 to 44,both,2005,29,,40 to 44,both,2005,30,,1
40 to 44,both,2006,28.6,,40 to 44,both,2006,29.2,,0.6
40 to 44,both,2007,28.1,,40 to 44,both,2007,29,,0.9
40 to 44,both,2008,27.8,,40 to 44,both,2008,28.7,,0.9
40 to 44,both,2009,28.7,,40 to 44,both,2009,29.6,,0.9
40 to 44,both,2010,26.9,,40 to 44,both,2010,28,,1.1
40 to 44,both,2011,26.3,,40 to 44,both,2011,27.8,,1.5
40 to 44,both,2012,23.2,,40 to 44,both,2012,24.4,,1.2
40 to 44,both,2013,22.8,,40 to 44,both,2013,23.9,,1.1
40 to 44,both,2014,21.2,,40 to 44,both,2014,22.2,,1
40 to 44,both,2015,20.5,,40 to 44,both,2015,21.4,,0.9
40 to 44,both,2016,18.2,,40 to 44,both,2016,19,,0.8
40 to 44,both,2017,17.6,,40 to 44,both,2017,18.2,,0.6
40 to 44,both,2018,17.6,,40 to 44,both,2018,18.3,,0.7
40 to 44,both,2019,17.5,,40 to 44,both,2019,18.2,,0.7
45 to 49,both,2000,30.7,,45 to 49,both,2000,30.9,,0.2
45 to 49,both,2001,29,,45 to 49,both,2001,29.4,,0.4
45 to 49,both,2002,30.8,,45 to 49,both,2002,31.1,,0.3
45 to 49,both,2003,34.6,,45 to 49,both,2003,35.2,,0.6
45 to 49,both,2004,32.4,,45 to 49,both,2004,33.1,,0.7
45 to 49,both,2005,33.6,,45 to 49,both,2005,34.3,,0.7
45 to 49,both,2006,31.7,,45 to 49,both,2006,32.4,,0.7
45 to 49,both,2007,32.9,,45 to 49,both,2007,33.8,,0.9
45 to 49,both,2008,31.1,,45 to 49,both,2008,32,,0.9
45 to 49,both,2009,32.1,,45 to 49,both,2009,33,,0.9
45 to 49,both,2010,30.9,,45 to 49,both,2010,32.6,,1.7
45 to 49,both,2011,30,,45 to 49,both,2011,30.9,,0.9
45 to 49,both,2012,27.4,,45 to 49,both,2012,28.6,,1.2
45 to 49,both,2013,26.7,,45 to 49,both,2013,27.9,,1.2
45 to 49,both,2014,24.1,,45 to 49,both,2014,25.2,,1.1
45 to 49,both,2015,22.8,,45 to 49,both,2015,23.7,,0.9
45 to 49,both,2016,20.7,,45 to 49,both,2016,22,,1.3
45 to 49,both,2017,20.1,,45 to 49,both,2017,21.3,,1.2
45 to 49,both,2018,19.1,,45 to 49,both,2018,20.3,,1.2
45 to 49,both,2019,18.9,,45 to 49,both,2019,20,,1.1
50 to 54,both,2000,37.9,,50 to 54,both,2000,39.2,,1.3
50 to 54,both,2001,36.6,,50 to 54,both,2001,37.7,,1.1
50 to 54,both,2002,39.2,,50 to 54,both,2002,39.5,,0.3
50 to 54,both,2003,40.6,,50 to 54,both,2003,40.8,,0.2
50 to 54,both,2004,36.8,,50 to 54,both,2004,36.8,,0
50 to 54,both,2005,36.7,,50 to 54,both,2005,36.9,,0.2
50 to 54,both,2006,33.9,,50 to 54,both,2006,34.3,,0.4
50 to 54,both,2007,34.9,,50 to 54,both,2007,35.2,,0.3
50 to 54,both,2008,32.9,,50 to 54,both,2008,33.5,,0.6
50 to 54,both,2009,36.1,,50 to 54,both,2009,37,,0.9
50 to 54,both,2010,34.4,,50 to 54,both,2010,35.6,,1.2
50 to 54,both,2011,32.4,,50 to 54,both,2011,33.4,,1
50 to 54,both,2012,30,,50 to 54,both,2012,31.2,,1.2
50 to 54,both,2013,29,,50 to 54,both,2013,30.1,,1.1
50 to 54,both,2014,26.2,,50 to 54,both,2014,27.3,,1.1
50 to 54,both,2015,25.4,,50 to 54,both,2015,26.8,,1.4
50 to 54,both,2016,23.8,,50 to 54,both,2016,24.8,,1
50 to 54,both,2017,22.8,,50 to 54,both,2017,24.1,,1.3
50 to 54,both,2018,22.5,,50 to 54,both,2018,23.9,,1.4
50 to 54,both,2019,20.7,,50 to 54,both,2019,22,,1.3
55 to 59,both,2000,45,,55 to 59,both,2000,45.7,,0.7
55 to 59,both,2001,42.2,,55 to 59,both,2001,42.4,,0.2
55 to 59,both,2002,44.1,,55 to 59,both,2002,45.3,,1.2
55 to 59,both,2003,43.8,,55 to 59,both,2003,44.8,,1
55 to 59,both,2004,40.7,,55 to 59,both,2004,41.8,,1.1
55 to 59,both,2005,38.3,,55 to 59,both,2005,39.7,,1.4
55 to 59,both,2006,36.9,,55 to 59,both,2006,38,,1.1
55 to 59,both,2007,36.8,,55 to 59,both,2007,37.2,,0.4
55 to 59,both,2008,35.5,,55 to 59,both,2008,35.7,,0.2
55 to 59,both,2009,36.7,,55 to 59,both,2009,36.7,,0
55 to 59,both,2010,34,,55 to 59,both,2010,34.6,,0.6
55 to 59,both,2011,31.9,,55 to 59,both,2011,32.6,,0.7
55 to 59,both,2012,27.3,,55 to 59,both,2012,27.8,,0.5
55 to 59,both,2013,26.8,,55 to 59,both,2013,27.5,,0.7
55 to 59,both,2014,26.3,,55 to 59,both,2014,27.1,,0.8
55 to 59,both,2015,24.2,,55 to 59,both,2015,25.1,,0.9
55 to 59,both,2016,22.6,,55 to 59,both,2016,23.5,,0.9
55 to 59,both,2017,21.9,,55 to 59,both,2017,22.9,,1
55 to 59,both,2018,20.7,,55 to 59,both,2018,21.7,,1
55 to 59,both,2019,20.5,,55 to 59,both,2019,21.7,,1.2
60 to 64,both,2000,38.5,,60 to 64,both,2000,39.1,,0.6
60 to 64,both,2001,36.7,,60 to 64,both,2001,37.6,,0.9
60 to 64,both,2002,36.9,,60 to 64,both,2002,37.5,,0.6
60 to 64,both,2003,37.7,,60 to 64,both,2003,38.5,,0.8
60 to 64,both,2004,34,,60 to 64,both,2004,34.7,,0.7
60 to 64,both,2005,34.1,,60 to 64,both,2005,34.6,,0.5
60 to 64,both,2006,33.2,,60 to 64,both,2006,33.4,,0.2
60 to 64,both,2007,34.4,,60 to 64,both,2007,35.3,,0.9
60 to 64,both,2008,33.2,,60 to 64,both,2008,34.1,,0.9
60 to 64,both,2009,32.6,,60 to 64,both,2009,33.6,,1
60 to 64,both,2010,31.1,,60 to 64,both,2010,32.4,,1.3
60 to 64,both,2011,28.6,,60 to 64,both,2011,29.7,,1.1
60 to 64,both,2012,25.6,,60 to 64,both,2012,26,,0.4
60 to 64,both,2013,24,,60 to 64,both,2013,24.4,,0.4
60 to 64,both,2014,22.4,,60 to 64,both,2014,22.5,,0.1
60 to 64,both,2015,21.3,,60 to 64,both,2015,21.7,,0.4
60 to 64,both,2016,19.3,,60 to 64,both,2016,19.9,,0.6
60 to 64,both,2017,18.3,,60 to 64,both,2017,18.9,,0.6
60 to 64,both,2018,18,,60 to 64,both,2018,18.7,,0.7
60 to 64,both,2019,18.1,,60 to 64,both,2019,19,,0.9
65 to 69,both,2000,33.1,,65 to 69,both,2000,33.7,,0.6
65 to 69,both,2001,32.3,,65 to 69,both,2001,32.9,,0.6
65 to 69,both,2002,32.8,,65 to 69,both,2002,33.3,,0.5
65 to 69,both,2003,34.3,,65 to 69,both,2003,34.6,,0.3
65 to 69,both,2004,30.2,,65 to 69,both,2004,30.4,,0.2
65 to 69,both,2005,28.5,,65 to 69,both,2005,28.9,,0.4
65 to 69,both,2006,29,,65 to 69,both,2006,29.6,,0.6
65 to 69,both,2007,31.5,,65 to 69,both,2007,32.1,,0.6
65 to 69,both,2008,30.2,,65 to 69,both,2008,31,,0.8
65 to 69,both,2009,30.3,,65 to 69,both,2009,31.1,,0.8
65 to 69,both,2010,29.5,,65 to 69,both,2010,30.2,,0.7
65 to 69,both,2011,28.1,,65 to 69,both,2011,28.4,,0.3
65 to 69,both,2012,26,,65 to 69,both,2012,26.9,,0.9
65 to 69,both,2013,25.1,,65 to 69,both,2013,26,,0.9
65 to 69,both,2014,23.5,,65 to 69,both,2014,24.4,,0.9
65 to 69,both,2015,20.9,,65 to 69,both,2015,21.8,,0.9
65 to 69,both,2016,18.3,,65 to 69,both,2016,19.1,,0.8
65 to 69,both,2017,17.9,,65 to 69,both,2017,18.4,,0.5
65 to 69,both,2018,16.8,,65 to 69,both,2018,17.3,,0.5
65 to 69,both,2019,16.4,,65 to 69,both,2019,16.8,,0.4
70 to 74,both,2000,30.4,,70 to 74,both,2000,30.9,,0.5
70 to 74,both,2001,30.3,,70 to 74,both,2001,30.8,,0.5
70 to 74,both,2002,27.3,,70 to 74,both,2002,27.8,,0.5
70 to 74,both,2003,29.5,,70 to 74,both,2003,29.9,,0.4
70 to 74,both,2004,27.9,,70 to 74,both,2004,28.2,,0.3
70 to 74,both,2005,28,,70 to 74,both,2005,28.5,,0.5
70 to 74,both,2006,28.6,,70 to 74,both,2006,29.1,,0.5
70 to 74,both,2007,30.8,,70 to 74,both,2007,31.3,,0.5
70 to 74,both,2008,27.9,,70 to 74,both,2008,28.3,,0.4
70 to 74,both,2009,27.6,,70 to 74,both,2009,27.9,,0.3
70 to 74,both,2010,26.4,,70 to 74,both,2010,27,,0.6
70 to 74,both,2011,26.4,,70 to 74,both,2011,27.2,,0.8
70 to 74,both,2012,25.7,,70 to 74,both,2012,26.3,,0.6
70 to 74,both,2013,26.2,,70 to 74,both,2013,27,,0.8
70 to 74,both,2014,23.5,,70 to 74,both,2014,24.4,,0.9
70 to 74,both,2015,24.2,,70 to 74,both,2015,24.9,,0.7
70 to 74,both,2016,20.5,,70 to 74,both,2016,20.9,,0.4
70 to 74,both,2017,19.3,,70 to 74,both,2017,20.2,,0.9
70 to 74,both,2018,18.2,,70 to 74,both,2018,19.2,,1
70 to 74,both,2019,17.5,,70 to 74,both,2019,18.5,,1
75 to 79,both,2000,31.3,,75 to 79,both,2000,32,,0.7
75 to 79,both,2001,29.6,,75 to 79,both,2001,30.4,,0.8
75 to 79,both,2002,29.2,,75 to 79,both,2002,29.9,,0.7
75 to 79,both,2003,27.6,,75 to 79,both,2003,28.2,,0.6
75 to 79,both,2004,27.8,,75 to 79,both,2004,28.3,,0.5
75 to 79,both,2005,26.7,,75 to 79,both,2005,27.2,,0.5
75 to 79,both,2006,27.5,,75 to 79,both,2006,28,,0.5
75 to 79,both,2007,27.9,,75 to 79,both,2007,28.5,,0.6
75 to 79,both,2008,27.5,,75 to 79,both,2008,28.1,,0.6
75 to 79,both,2009,27.7,,75 to 79,both,2009,28.2,,0.5
75 to 79,both,2010,26.9,,75 to 79,both,2010,27.6,,0.7
75 to 79,both,2011,26.4,,75 to 79,both,2011,27.1,,0.7
75 to 79,both,2012,25.4,,75 to 79,both,2012,26.2,,0.8
75 to 79,both,2013,26.3,,75 to 79,both,2013,27,,0.7
75 to 79,both,2014,24.1,,75 to 79,both,2014,24.8,,0.7
75 to 79,both,2015,22.9,,75 to 79,both,2015,23.6,,0.7
75 to 79,both,2016,20.6,,75 to 79,both,2016,21.5,,0.9
75 to 79,both,2017,19.3,,75 to 79,both,2017,20.2,,0.9
75 to 79,both,2018,19.7,,75 to 79,both,2018,20.8,,1.1
75 to 79,both,2019,18.1,,75 to 79,both,2019,19.2,,1.1
80 to 84,both,2000,40.7,,80 to 84,both,2000,42.6,,1.9
