Japanese government data,,,,,HMD Cause of death data,,,,,Differences in rate
55 to 59,male,2011,48.6,,55 to 59,male,2011,50,,1.4
55 to 59,male,2012,41.3,,55 to 59,male,2012,42.3,,1
55 to 59,male,2013,40,,55 to 59,male,2013,41.2,,1.2
55 to 59,male,2014,38.8,,55 to 59,male,2014,40.2,,1.4
55 to 59,male,2015,35.7,,55 to 59,male,2015,37.3,,1.6
55 to 59,male,2016,32.7,,55 to 59,male,2016,34.3,,1.6
55 to 59,male,2017,32.2,,55 to 59,male,2017,33.9,,1.7
55 to 59,male,2018,30.2,,55 to 59,male,2018,32.1,,1.9
55 to 59,male,2019,30.5,,55 to 59,male,2019,32.6,,2.1
60 to 64,male,2000,58.2,,60 to 64,male,2000,59.3,,1.1
60 to 64,male,2001,56.7,,60 to 64,male,2001,58.1,,1.4
60 to 64,male,2002,57.9,,60 to 64,male,2002,58.8,,0.9
60 to 64,male,2003,58.4,,60 to 64,male,2003,59.5,,1.1
60 to 64,male,2004,52.1,,60 to 64,male,2004,53.1,,1
60 to 64,male,2005,51.9,,60 to 64,male,2005,52.9,,1
60 to 64,male,2006,51.4,,60 to 64,male,2006,51.8,,0.4
60 to 64,male,2007,51.2,,60 to 64,male,2007,52.7,,1.5
60 to 64,male,2008,51,,60 to 64,male,2008,52.4,,1.4
60 to 64,male,2009,51.1,,60 to 64,male,2009,52.7,,1.6
60 to 64,male,2010,47.1,,60 to 64,male,2010,49.5,,2.4
60 to 64,male,2011,42.1,,60 to 64,male,2011,44,,1.9
60 to 64,male,2012,37.5,,60 to 64,male,2012,38.2,,0.7
60 to 64,male,2013,34.8,,60 to 64,male,2013,35.5,,0.7
60 to 64,male,2014,32.5,,60 to 64,male,2014,32.8,,0.3
60 to 64,male,2015,31,,60 to 64,male,2015,31.7,,0.7
60 to 64,male,2016,27.8,,60 to 64,male,2016,28.8,,1
60 to 64,male,2017,26.4,,60 to 64,male,2017,27.4,,1
60 to 64,male,2018,26.3,,60 to 64,male,2018,27.7,,1.4
60 to 64,male,2019,27.2,,60 to 64,male,2019,28.7,,1.5
65 to 69,male,2000,48.1,,65 to 69,male,2000,49,,0.9
65 to 69,male,2001,47.8,,65 to 69,male,2001,48.8,,1
65 to 69,male,2002,47.4,,65 to 69,male,2002,48.2,,0.8
65 to 69,male,2003,49.4,,65 to 69,male,2003,49.9,,0.5
65 to 69,male,2004,43.7,,65 to 69,male,2004,44,,0.3
65 to 69,male,2005,42.3,,65 to 69,male,2005,43.1,,0.8
65 to 69,male,2006,41.7,,65 to 69,male,2006,42.7,,1
65 to 69,male,2007,45.6,,65 to 69,male,2007,46.6,,1
65 to 69,male,2008,43.2,,65 to 69,male,2008,44.4,,1.2
65 to 69,male,2009,43.8,,65 to 69,male,2009,45.1,,1.3
65 to 69,male,2010,41.7,,65 to 69,male,2010,42.7,,1
65 to 69,male,2011,39.4,,65 to 69,male,2011,39.8,,0.4
65 to 69,male,2012,36.9,,65 to 69,male,2012,38.3,,1.4
65 to 69,male,2013,35.1,,65 to 69,male,2013,36.5,,1.4
65 to 69,male,2014,32.1,,65 to 69,male,2014,33.4,,1.3
65 to 69,male,2015,29.6,,65 to 69,male,2015,31.1,,1.5
65 to 69,male,2016,25,,65 to 69,male,2016,26.3,,1.3
65 to 69,male,2017,25.6,,65 to 69,male,2017,26.5,,0.9
65 to 69,male,2018,23,,65 to 69,male,2018,23.8,,0.8
65 to 69,male,2019,22.9,,65 to 69,male,2019,23.6,,0.7
70 to 74,male,2000,41.2,,70 to 74,male,2000,42,,0.8
70 to 74,male,2001,41.9,,70 to 74,male,2001,42.7,,0.8
70 to 74,male,2002,36.8,,70 to 74,male,2002,37.5,,0.7
70 to 74,male,2003,39.5,,70 to 74,male,2003,40,,0.5
70 to 74,male,2004,38.8,,70 to 74,male,2004,39.2,,0.4
70 to 74,male,2005,40.9,,70 to 74,male,2005,41.8,,0.9
70 to 74,male,2006,40.7,,70 to 74,male,2006,41.5,,0.8
70 to 74,male,2007,43.7,,70 to 74,male,2007,44.5,,0.8
70 to 74,male,2008,39.7,,70 to 74,male,2008,40.4,,0.7
70 to 74,male,2009,39.3,,70 to 74,male,2009,39.9,,0.6
70 to 74,male,2010,36.8,,70 to 74,male,2010,37.7,,0.9
70 to 74,male,2011,36.4,,70 to 74,male,2011,37.6,,1.2
70 to 74,male,2012,34.9,,70 to 74,male,2012,35.9,,1
70 to 74,male,2013,36.5,,70 to 74,male,2013,37.8,,1.3
70 to 74,male,2014,32.1,,70 to 74,male,2014,33.4,,1.3
70 to 74,male,2015,33.7,,70 to 74,male,2015,34.6,,0.9
70 to 74,male,2016,27.4,,70 to 74,male,2016,28,,0.6
70 to 74,male,2017,25.9,,70 to 74,male,2017,27.2,,1.3
70 to 74,male,2018,25.3,,70 to 74,male,2018,26.7,,1.4
70 to 74,male,2019,24.5,,70 to 74,male,2019,26,,1.5
75 to 79,male,2000,39.1,,75 to 79,male,2000,40.2,,1.1
75 to 79,male,2001,40,,75 to 79,male,2001,41.3,,1.3
75 to 79,male,2002,39.8,,75 to 79,male,2002,40.8,,1
75 to 79,male,2003,36.9,,75 to 79,male,2003,37.8,,0.9
75 to 79,male,2004,39.3,,75 to 79,male,2004,40,,0.7
75 to 79,male,2005,36,,75 to 79,male,2005,36.8,,0.8
75 to 79,male,2006,38.4,,75 to 79,male,2006,39.1,,0.7
75 to 79,male,2007,39.9,,75 to 79,male,2007,40.9,,1
75 to 79,male,2008,38.2,,75 to 79,male,2008,39.1,,0.9
75 to 79,male,2009,38.9,,75 to 79,male,2009,39.8,,0.9
75 to 79,male,2010,38.1,,75 to 79,male,2010,39,,0.9
75 to 79,male,2011,35.9,,75 to 79,male,2011,36.9,,1
75 to 79,male,2012,35.7,,75 to 79,male,2012,36.8,,1.1
75 to 79,male,2013,36.8,,75 to 79,male,2013,37.8,,1
75 to 79,male,2014,33.8,,75 to 79,male,2014,34.7,,0.9
75 to 79,male,2015,32.6,,75 to 79,male,2015,33.6,,1
75 to 79,male,2016,29.4,,75 to 79,male,2016,30.7,,1.3
75 to 79,male,2017,27.8,,75 to 79,male,2017,29,,1.2
75 to 79,male,2018,28.6,,75 to 79,male,2018,30.1,,1.5
75 to 79,male,2019,26.5,,75 to 79,male,2019,28.1,,1.6
80 to 84,male,2000,55.4,,80 to 84,male,2000,58.1,,2.7
80 to 84,male,2001,53.5,,80 to 84,male,2001,55.9,,2.4
80 to 84,male,2002,48.7,,80 to 84,male,2002,51,,2.3
80 to 84,male,2003,45.5,,80 to 84,male,2003,47.9,,2.4
80 to 84,male,2004,47.1,,80 to 84,male,2004,49.9,,2.8
80 to 84,male,2005,45,,80 to 84,male,2005,47.7,,2.7
80 to 84,male,2006,39.4,,80 to 84,male,2006,42,,2.6
80 to 84,male,2007,47.2,,80 to 84,male,2007,50.1,,2.9
80 to 84,male,2008,41,,80 to 84,male,2008,43.6,,2.6
80 to 84,male,2009,41.1,,80 to 84,male,2009,43.4,,2.3
80 to 84,male,2010,37.6,,80 to 84,male,2010,39.4,,1.8
80 to 84,male,2011,35.6,,80 to 84,male,2011,37.2,,1.6
80 to 84,male,2012,38.3,,80 to 84,male,2012,40.3,,2
80 to 84,male,2013,37,,80 to 84,male,2013,38.8,,1.8
80 to 84,male,2014,36.4,,80 to 84,male,2014,38.2,,1.8
80 to 84,male,2015,37.7,,80 to 84,male,2015,39.8,,2.1
80 to 84,male,2016,31.4,,80 to 84,male,2016,33.2,,1.8
80 to 84,male,2017,31.7,,80 to 84,male,2017,33.6,,1.9
80 to 84,male,2018,31.7,,80 to 84,male,2018,33.5,,1.8
80 to 84,male,2019,29.1,,80 to 84,male,2019,30.9,,1.8
85 to 89,male,2000,71.1,,85 to 89,male,2000,75.7,,4.6
85 to 89,male,2001,68.1,,85 to 89,male,2001,72.7,,4.6
85 to 89,male,2002,60,,85 to 89,male,2002,63.9,,3.9
85 to 89,male,2003,64.5,,85 to 89,male,2003,68.3,,3.8
85 to 89,male,2004,61.6,,85 to 89,male,2004,65.1,,3.5
85 to 89,male,2005,55.2,,85 to 89,male,2005,59.2,,4
85 to 89,male,2006,59.5,,85 to 89,male,2006,63.8,,4.3
85 to 89,male,2007,59.3,,85 to 89,male,2007,64.1,,4.8
85 to 89,male,2008,55.7,,85 to 89,male,2008,60.4,,4.7
85 to 89,male,2009,50.6,,85 to 89,male,2009,55.5,,4.9
85 to 89,male,2010,47.4,,85 to 89,male,2010,50.7,,3.3
85 to 89,male,2011,49.8,,85 to 89,male,2011,53.8,,4
85 to 89,male,2012,44.3,,85 to 89,male,2012,48.1,,3.8
85 to 89,male,2013,45.3,,85 to 89,male,2013,49.6,,4.3
85 to 89,male,2014,41.2,,85 to 89,male,2014,45,,3.8
85 to 89,male,2015,39.8,,85 to 89,male,2015,43.2,,3.4
85 to 89,male,2016,34.6,,85 to 89,male,2016,37.8,,3.2
85 to 89,male,2017,34.8,,85 to 89,male,2017,38.3,,3.5
85 to 89,male,2018,34.4,,85 to 89,male,2018,37.9,,3.5
85 to 89,male,2019,32.5,,85 to 89,male,2019,35.9,,3.4
90 to 94,male,2000,78.8,,90 to 94,male,2000,87.9,,9.1
90 to 94,male,2001,72.8,,90 to 94,male,2001,81,,8.2
90 to 94,male,2002,77.1,,90 to 94,male,2002,93.4,,16.3
90 to 94,male,2003,74.8,,90 to 94,male,2003,82.8,,8
90 to 94,male,2004,70.3,,90 to 94,male,2004,82.5,,12.2
90 to 94,male,2005,69.3,,90 to 94,male,2005,77.2,,7.9
90 to 94,male,2006,67.9,,90 to 94,male,2006,76.1,,8.2
90 to 94,male,2007,70.3,,90 to 94,male,2007,79,,8.7
90 to 94,male,2008,66.8,,90 to 94,male,2008,76.1,,9.3
90 to 94,male,2009,65,,90 to 94,male,2009,73.7,,8.7
90 to 94,male,2010,65.5,,90 to 94,male,2010,72.8,,7.3
90 to 94,male,2011,60.7,,90 to 94,male,2011,67.6,,6.9
90 to 94,male,2012,58.9,,90 to 94,male,2012,66.6,,7.7
90 to 94,male,2013,61,,90 to 94,male,2013,69.9,,8.9
90 to 94,male,2014,50.8,,90 to 94,male,2014,59.1,,8.3
90 to 94,male,2015,46.8,,90 to 94,male,2015,53.4,,6.6
90 to 94,male,2016,43.2,,90 to 94,male,2016,50.2,,7
90 to 94,male,2017,37.7,,90 to 94,male,2017,44.3,,6.6
90 to 94,male,2018,32.2,,90 to 94,male,2018,38.1,,5.9
90 to 94,male,2019,38,,90 to 94,male,2019,45.2,,7.2
95 to 99,male,2000,,,95 to 99,male,2000,85.4,,
95 to 99,male,2001,,,95 to 99,male,2001,98,,
95 to 99,male,2002,,,95 to 99,male,2002,59.1,,
95 to 99,male,2003,,,95 to 99,male,2003,101.5,,
95 to 99,male,2004,...,,95 to 99,male,2004,68.9,,
95 to 99,male,2005,86.8,,95 to 99,male,2005,103.9,,17.1
95 to 99,male,2006,64.4,,95 to 99,male,2006,77.4,,13
95 to 99,male,2007,76,,95 to 99,male,2007,93.8,,17.8
95 to 99,male,2008,61.8,,95 to 99,male,2008,79.2,,17.4
95 to 99,male,2009,66.7,,95 to 99,male,2009,87.3,,20.6
95 to 99,male,2010,82.2,,95 to 99,male,2010,96,,13.8
95 to 99,male,2011,57.6,,95 to 99,male,2011,69,,11.4
95 to 99,male,2012,53.3,,95 to 99,male,2012,,,
95 to 99,male,2013,62.9,,95 to 99,male,2013,,,
95 to 99,male,2014,50,,95 to 99,male,2014,,,
95 to 99,male,2015,53.6,,95 to 99,male,2015,,,
95 to 99,male,2016,38.8,,95 to 99,male,2016,,,
95 to 99,male,2017,50,,95 to 99,male,2017,,,
95 to 99,male,2018,32.9,,95 to 99,male,2018,,,
95 to 99,male,2019,28.7,,95 to 99,male,2019,,,
100+,male,2000,,,100+,male,2000,240.3,,
100+,male,2001,,,100+,male,2001,0,,
100+,male,2002,,,100+,male,2002,46.7,,
100+,male,2003,,,100+,male,2003,81.1,,
100+,male,2004,...,,100+,male,2004,112.7,,
100+,male,2005,186.1,,100+,male,2005,242,,55.9
100+,male,2006,75,,100+,male,2006,97.4,,22.4
100+,male,2007,60,,100+,male,2007,85.7,,25.7
100+,male,2008,16.7,,100+,male,2008,26.2,,9.5
100+,male,2009,128.6,,100+,male,2009,215.5,,86.9
100+,male,2010,17.1,,100+,male,2010,22.1,,5
100+,male,2011,66.7,,100+,male,2011,86,,19.3
100+,male,2012,42.9,,100+,male,2012,,,
100+,male,2013,14.3,,100+,male,2013,,,
100+,male,2014,37.5,,100+,male,2014,,,
100+,male,2015,95.7,,100+,male,2015,,,
100+,male,2016,55.6,,100+,male,2016,,,
100+,male,2017,44.4,,100+,male,2017,,,
100+,male,2018,55.6,,100+,male,2018,,,
100+,male,2019,-,,100+,male,2019,,,
total ,female,2000,13.4,,total,female,2000,13.6,,0.2
total ,female,2001,12.9,,total,female,2001,13.1,,0.2
total ,female,2002,12.8,,total,female,2002,13.1,,0.3
total ,female,2003,13.5,,total,female,2003,13.7,,0.2
total ,female,2004,12.8,,total,female,2004,13.1,,0.3
total ,female,2005,12.9,,total,female,2005,13.1,,0.2
total ,female,2006,13.2,,total,female,2006,13.4,,0.2
total ,female,2007,13.7,,total,female,2007,13.9,,0.2
total ,female,2008,13.5,,total,female,2008,13.7,,0.2
total ,female,2009,13.2,,total,female,2009,13.5,,0.3
total ,female,2010,13.2,,total,female,2010,13.5,,0.3
total ,female,2011,13.9,,total,female,2011,14.3,,0.4
total ,female,2012,12.3,,total,female,2012,12.7,,0.4
total ,female,2013,12.3,,total,female,2013,12.7,,0.4
total ,female,2014,11.7,,total,female,2014,12.1,,0.4
total ,female,2015,10.8,,total,female,2015,11.2,,0.4
total ,female,2016,9.9,,total,female,2016,10.4,,0.5
total ,female,2017,9.6,,total,female,2017,10,,0.4
total ,female,2018,9.7,,total,female,2018,10.2,,0.5
total ,female,2019,9.1,,total,female,2019,9.5,,0.4
10 to 14,female,2000,0.5,,10 to 14,female,2000,0.5,,0
10 to 14,female,2001,0.7,,10 to 14,female,2001,0.7,,0
10 to 14,female,2002,0.4,,10 to 14,female,2002,0.4,,0
10 to 14,female,2003,1.1,,10 to 14,female,2003,1.1,,0
10 to 14,female,2004,0.8,,10 to 14,female,2004,0.8,,0
10 to 14,female,2005,0.5,,10 to 14,female,2005,0.6,,0.1
10 to 14,female,2006,0.7,,10 to 14,female,2006,0.7,,0
10 to 14,female,2007,0.6,,10 to 14,female,2007,0.6,,0
10 to 14,female,2008,0.6,,10 to 14,female,2008,0.6,,0
10 to 14,female,2009,0.7,,10 to 14,female,2009,0.8,,0.1
10 to 14,female,2010,0.7,,10 to 14,female,2010,0.8,,0.1
10 to 14,female,2011,0.8,,10 to 14,female,2011,0.8,,0
10 to 14,female,2012,0.7,,10 to 14,female,2012,0.7,,0
10 to 14,female,2013,1.2,,10 to 14,female,2013,1.2,,0
10 to 14,female,2014,1.2,,10 to 14,female,2014,1.2,,0
10 to 14,female,2015,1,,10 to 14,female,2015,1,,0
10 to 14,female,2016,1,,10 to 14,female,2016,1.1,,0.1
10 to 14,female,2017,1.6,,10 to 14,female,2017,1.6,,0
10 to 14,female,2018,1.3,,10 to 14,female,2018,1.3,,0
10 to 14,female,2019,1.7,,10 to 14,female,2019,1.7,,0
15 to 19,female,2000,3.8,,15 to 19,female,2000,3.9,,0.1
15 to 19,female,2001,4.7,,15 to 19,female,2001,4.8,,0.1
15 to 19,female,2002,3.9,,15 to 19,female,2002,3.9,,0
15 to 19,female,2003,5.6,,15 to 19,female,2003,5.7,,0.1
15 to 19,female,2004,5.7,,15 to 19,female,2004,5.8,,0.1
15 to 19,female,2005,6,,15 to 19,female,2005,6.1,,0.1
15 to 19,female,2006,5.7,,15 to 19,female,2006,5.8,,0.1
15 to 19,female,2007,5.7,,15 to 19,female,2007,5.8,,0.1
15 to 19,female,2008,6.8,,15 to 19,female,2008,6.9,,0.1
15 to 19,female,2009,5.5,,15 to 19,female,2009,5.7,,0.2
15 to 19,female,2010,5.1,,15 to 19,female,2010,5.3,,0.2
15 to 19,female,2011,5.7,,15 to 19,female,2011,5.9,,0.2
15 to 19,female,2012,5.6,,15 to 19,female,2012,5.7,,0.1
15 to 19,female,2013,4.6,,15 to 19,female,2013,4.8,,0.2
15 to 19,female,2014,4.2,,15 to 19,female,2014,4.3,,0.1
15 to 19,female,2015,4.7,,15 to 19,female,2015,4.8,,0.1
15 to 19,female,2016,4.5,,15 to 19,female,2016,4.5,,0
15 to 19,female,2017,4.3,,15 to 19,female,2017,4.4,,0.1
15 to 19,female,2018,6.9,,15 to 19,female,2018,7.1,,0.2
15 to 19,female,2019,6.4,,15 to 19,female,2019,6.5,,0.1
20 to 24,female,2000,9.7,,20 to 24,female,2000,9.8,,0.1
20 to 24,female,2001,9.1,,20 to 24,female,2001,9.2,,0.1
20 to 24,female,2002,8.6,,20 to 24,female,2002,8.8,,0.2
20 to 24,female,2003,9.9,,20 to 24,female,2003,10.1,,0.2
20 to 24,female,2004,10.7,,20 to 24,female,2004,11.1,,0.4
20 to 24,female,2005,12.9,,20 to 24,female,2005,13,,0.1
20 to 24,female,2006,13.3,,20 to 24,female,2006,13.5,,0.2
20 to 24,female,2007,12.5,,20 to 24,female,2007,12.8,,0.3
20 to 24,female,2008,13.5,,20 to 24,female,2008,14,,0.5
20 to 24,female,2009,13.7,,20 to 24,female,2009,14.2,,0.5
20 to 24,female,2010,11.6,,20 to 24,female,2010,11.9,,0.3
20 to 24,female,2011,14.9,,20 to 24,female,2011,15.2,,0.3
20 to 24,female,2012,11.2,,20 to 24,female,2012,11.6,,0.4
20 to 24,female,2013,11.4,,20 to 24,female,2013,11.6,,0.2
20 to 24,female,2014,10.6,,20 to 24,female,2014,11.1,,0.5
20 to 24,female,2015,9.4,,20 to 24,female,2015,9.7,,0.3
20 to 24,female,2016,8.9,,20 to 24,female,2016,9.1,,0.2
20 to 24,female,2017,9.8,,20 to 24,female,2017,10.1,,0.3
20 to 24,female,2018,10.4,,20 to 24,female,2018,10.8,,0.4
20 to 24,female,2019,10.1,,20 to 24,female,2019,10.5,,0.4
25 to 29 ,female,2000,11.5,,25 to 29,female,2000,11.7,,0.2
25 to 29 ,female,2001,11,,25 to 29,female,2001,11.1,,0.1
25 to 29 ,female,2002,10.6,,25 to 29,female,2002,10.8,,0.2
25 to 29 ,female,2003,12.4,,25 to 29,female,2003,12.5,,0.1
25 to 29 ,female,2004,12.5,,25 to 29,female,2004,12.7,,0.2
25 to 29 ,female,2005,12.8,,25 to 29,female,2005,12.9,,0.1
25 to 29 ,female,2006,14.5,,25 to 29,female,2006,14.7,,0.2
25 to 29 ,female,2007,14.1,,25 to 29,female,2007,14.2,,0.1
25 to 29 ,female,2008,14.4,,25 to 29,female,2008,14.6,,0.2
25 to 29 ,female,2009,14.5,,25 to 29,female,2009,14.8,,0.3
25 to 29 ,female,2010,12.2,,25 to 29,female,2010,12.6,,0.4
25 to 29 ,female,2011,16.2,,25 to 29,female,2011,16.6,,0.4
25 to 29 ,female,2012,13.4,,25 to 29,female,2012,13.8,,0.4
25 to 29 ,female,2013,11.9,,25 to 29,female,2013,12.2,,0.3
25 to 29 ,female,2014,12.1,,25 to 29,female,2014,12.2,,0.1
25 to 29 ,female,2015,10.4,,25 to 29,female,2015,10.6,,0.2
25 to 29 ,female,2016,9.6,,25 to 29,female,2016,9.9,,0.3
25 to 29 ,female,2017,10,,25 to 29,female,2017,10.4,,0.4
25 to 29 ,female,2018,10.3,,25 to 29,female,2018,10.7,,0.4
25 to 29 ,female,2019,10.7,,25 to 29,female,2019,11,,0.3
30 to 34,female,2000,11.3,,30 to 34,female,2000,11.4,,0.1
30 to 34,female,2001,11.1,,30 to 34,female,2001,11.5,,0.4
30 to 34,female,2002,11.4,,30 to 34,female,2002,11.7,,0.3
30 to 34,female,2003,12.6,,30 to 34,female,2003,12.9,,0.3
30 to 34,female,2004,11.9,,30 to 34,female,2004,12.2,,0.3
30 to 34,female,2005,13.4,,30 to 34,female,2005,13.6,,0.2
30 to 34,female,2006,12.5,,30 to 34,female,2006,12.6,,0.1
30 to 34,female,2007,12.4,,30 to 34,female,2007,12.5,,0.1
30 to 34,female,2008,15.8,,30 to 34,female,2008,15.8,,0
30 to 34,female,2009,13.8,,30 to 34,female,2009,13.9,,0.1
30 to 34,female,2010,14.3,,30 to 34,female,2010,14.6,,0.3
30 to 34,female,2011,14.3,,30 to 34,female,2011,14.6,,0.3
30 to 34,female,2012,12.8,,30 to 34,female,2012,13,,0.2
