Japanese government data,,,,,HMD Cause of death data,,,,,Differences in rate
30 to 34,female,2013,12.6,,30 to 34,female,2013,12.7,,0.1
30 to 34,female,2014,12.1,,30 to 34,female,2014,12.3,,0.2
30 to 34,female,2015,10.3,,30 to 34,female,2015,10.5,,0.2
30 to 34,female,2016,9.2,,30 to 34,female,2016,9.5,,0.3
30 to 34,female,2017,9.9,,30 to 34,female,2017,10.3,,0.4
30 to 34,female,2018,9.6,,30 to 34,female,2018,9.8,,0.2
30 to 34,female,2019,8.8,,30 to 34,female,2019,9,,0.2
35 to 39,female,2000,9.8,,35 to 39,female,2000,10,,0.2
35 to 39,female,2001,9.9,,35 to 39,female,2001,10,,0.1
35 to 39,female,2002,11.8,,35 to 39,female,2002,12.1,,0.3
35 to 39,female,2003,12.8,,35 to 39,female,2003,13.1,,0.3
35 to 39,female,2004,10.9,,35 to 39,female,2004,11.2,,0.3
35 to 39,female,2005,12,,35 to 39,female,2005,12.2,,0.2
35 to 39,female,2006,12.6,,35 to 39,female,2006,13,,0.4
35 to 39,female,2007,13.6,,35 to 39,female,2007,13.9,,0.3
35 to 39,female,2008,13.9,,35 to 39,female,2008,14.2,,0.3
35 to 39,female,2009,13.2,,35 to 39,female,2009,13.5,,0.3
35 to 39,female,2010,13.1,,35 to 39,female,2010,13.5,,0.4
35 to 39,female,2011,14.6,,35 to 39,female,2011,15,,0.4
35 to 39,female,2012,11.9,,35 to 39,female,2012,12.2,,0.3
35 to 39,female,2013,12.1,,35 to 39,female,2013,12.3,,0.2
35 to 39,female,2014,12.4,,35 to 39,female,2014,12.7,,0.3
35 to 39,female,2015,10.1,,35 to 39,female,2015,10.3,,0.2
35 to 39,female,2016,10.6,,35 to 39,female,2016,10.8,,0.2
35 to 39,female,2017,8.8,,35 to 39,female,2017,9.2,,0.4
35 to 39,female,2018,8.8,,35 to 39,female,2018,8.9,,0.1
35 to 39,female,2019,9,,35 to 39,female,2019,9.3,,0.3
40 to 44,female,2000,10.5,,40 to 44,female,2000,10.5,,0
40 to 44,female,2001,10.6,,40 to 44,female,2001,10.7,,0.1
40 to 44,female,2002,9.8,,40 to 44,female,2002,10,,0.2
40 to 44,female,2003,11.6,,40 to 44,female,2003,11.8,,0.2
40 to 44,female,2004,12.3,,40 to 44,female,2004,12.6,,0.3
40 to 44,female,2005,12.7,,40 to 44,female,2005,13,,0.3
40 to 44,female,2006,13.7,,40 to 44,female,2006,13.9,,0.2
40 to 44,female,2007,13.9,,40 to 44,female,2007,14.1,,0.2
40 to 44,female,2008,13.5,,40 to 44,female,2008,13.8,,0.3
40 to 44,female,2009,14.5,,40 to 44,female,2009,14.7,,0.2
40 to 44,female,2010,13.4,,40 to 44,female,2010,13.6,,0.2
40 to 44,female,2011,14.7,,40 to 44,female,2011,15.4,,0.7
40 to 44,female,2012,12.1,,40 to 44,female,2012,12.5,,0.4
40 to 44,female,2013,12.2,,40 to 44,female,2013,12.6,,0.4
40 to 44,female,2014,11.3,,40 to 44,female,2014,11.6,,0.3
40 to 44,female,2015,11,,40 to 44,female,2015,11.4,,0.4
40 to 44,female,2016,9.2,,40 to 44,female,2016,9.5,,0.3
40 to 44,female,2017,9.3,,40 to 44,female,2017,9.6,,0.3
40 to 44,female,2018,10.1,,40 to 44,female,2018,10.2,,0.1
40 to 44,female,2019,8.8,,40 to 44,female,2019,9,,0.2
45 to 49,female,2000,12.2,,45 to 49,female,2000,12.1,,-0.1
45 to 49,female,2001,12.4,,45 to 49,female,2001,12.4,,0
45 to 49,female,2002,11.9,,45 to 49,female,2002,11.9,,0
45 to 49,female,2003,12.6,,45 to 49,female,2003,12.7,,0.1
45 to 49,female,2004,11.6,,45 to 49,female,2004,11.8,,0.2
45 to 49,female,2005,12.5,,45 to 49,female,2005,12.6,,0.1
45 to 49,female,2006,12.4,,45 to 49,female,2006,12.5,,0.1
45 to 49,female,2007,13.7,,45 to 49,female,2007,13.9,,0.2
45 to 49,female,2008,12.8,,45 to 49,female,2008,13,,0.2
45 to 49,female,2009,13.6,,45 to 49,female,2009,13.8,,0.2
45 to 49,female,2010,15.3,,45 to 49,female,2010,15.8,,0.5
45 to 49,female,2011,15.6,,45 to 49,female,2011,15.8,,0.2
45 to 49,female,2012,13.4,,45 to 49,female,2012,13.9,,0.5
45 to 49,female,2013,14.2,,45 to 49,female,2013,14.7,,0.5
45 to 49,female,2014,13.8,,45 to 49,female,2014,14.2,,0.4
45 to 49,female,2015,13,,45 to 49,female,2015,13.3,,0.3
45 to 49,female,2016,10.8,,45 to 49,female,2016,11.3,,0.5
45 to 49,female,2017,10.8,,45 to 49,female,2017,11.2,,0.4
45 to 49,female,2018,11.1,,45 to 49,female,2018,11.6,,0.5
45 to 49,female,2019,10.7,,45 to 49,female,2019,11,,0.3
50 to 54,female,2000,16.3,,50 to 54,female,2000,16.7,,0.4
50 to 54,female,2001,15.3,,50 to 54,female,2001,15.6,,0.3
50 to 54,female,2002,16.2,,50 to 54,female,2002,16.2,,0
50 to 54,female,2003,15.3,,50 to 54,female,2003,15.2,,-0.1
50 to 54,female,2004,14.2,,50 to 54,female,2004,14,,-0.2
50 to 54,female,2005,14.2,,50 to 54,female,2005,14.1,,-0.1
50 to 54,female,2006,14.9,,50 to 54,female,2006,14.9,,0
50 to 54,female,2007,15.3,,50 to 54,female,2007,15.3,,0
50 to 54,female,2008,14.3,,50 to 54,female,2008,14.3,,0
50 to 54,female,2009,15.2,,50 to 54,female,2009,15.3,,0.1
50 to 54,female,2010,15.9,,50 to 54,female,2010,16.2,,0.3
50 to 54,female,2011,17,,50 to 54,female,2011,17.2,,0.2
50 to 54,female,2012,16,,50 to 54,female,2012,16.3,,0.3
50 to 54,female,2013,14.6,,50 to 54,female,2013,14.9,,0.3
50 to 54,female,2014,13.6,,50 to 54,female,2014,13.8,,0.2
50 to 54,female,2015,13.6,,50 to 54,female,2015,14,,0.4
50 to 54,female,2016,12.9,,50 to 54,female,2016,13.2,,0.3
50 to 54,female,2017,12.9,,50 to 54,female,2017,13.3,,0.4
50 to 54,female,2018,13.1,,50 to 54,female,2018,13.5,,0.4
50 to 54,female,2019,11.6,,50 to 54,female,2019,11.9,,0.3
55 to 59,female,2000,18.4,,55 to 59,female,2000,18.5,,0.1
55 to 59,female,2001,18.2,,55 to 59,female,2001,18.1,,-0.1
55 to 59,female,2002,18.1,,55 to 59,female,2002,18.4,,0.3
55 to 59,female,2003,17.1,,55 to 59,female,2003,17.4,,0.3
55 to 59,female,2004,17.3,,55 to 59,female,2004,17.6,,0.3
55 to 59,female,2005,15.8,,55 to 59,female,2005,16.2,,0.4
55 to 59,female,2006,15.6,,55 to 59,female,2006,15.9,,0.3
55 to 59,female,2007,15.7,,55 to 59,female,2007,15.7,,0
55 to 59,female,2008,14.4,,55 to 59,female,2008,14.4,,0
55 to 59,female,2009,14.7,,55 to 59,female,2009,14.5,,-0.2
55 to 59,female,2010,14.5,,55 to 59,female,2010,14.5,,0
55 to 59,female,2011,15.4,,55 to 59,female,2011,15.4,,0
55 to 59,female,2012,13.5,,55 to 59,female,2012,13.5,,0
55 to 59,female,2013,13.7,,55 to 59,female,2013,13.8,,0.1
55 to 59,female,2014,13.9,,55 to 59,female,2014,14.1,,0.2
55 to 59,female,2015,12.8,,55 to 59,female,2015,13,,0.2
55 to 59,female,2016,12.4,,55 to 59,female,2016,12.7,,0.3
55 to 59,female,2017,11.6,,55 to 59,female,2017,11.9,,0.3
55 to 59,female,2018,11.1,,55 to 59,female,2018,11.4,,0.3
55 to 59,female,2019,10.5,,55 to 59,female,2019,10.8,,0.3
60 to 64,female,2000,19.9,,60 to 64,female,2000,20.1,,0.2
60 to 64,female,2001,17.8,,60 to 64,female,2001,18.2,,0.4
60 to 64,female,2002,17.2,,60 to 64,female,2002,17.4,,0.2
60 to 64,female,2003,18.2,,60 to 64,female,2003,18.5,,0.3
60 to 64,female,2004,17,,60 to 64,female,2004,17.3,,0.3
60 to 64,female,2005,17.1,,60 to 64,female,2005,17.3,,0.2
60 to 64,female,2006,16,,60 to 64,female,2006,15.9,,-0.1
60 to 64,female,2007,18.4,,60 to 64,female,2007,18.8,,0.4
60 to 64,female,2008,16.3,,60 to 64,female,2008,16.6,,0.3
60 to 64,female,2009,14.9,,60 to 64,female,2009,15.1,,0.2
60 to 64,female,2010,15.6,,60 to 64,female,2010,16,,0.4
60 to 64,female,2011,15.5,,60 to 64,female,2011,15.8,,0.3
60 to 64,female,2012,14.2,,60 to 64,female,2012,14.3,,0.1
60 to 64,female,2013,13.7,,60 to 64,female,2013,13.7,,0
60 to 64,female,2014,12.6,,60 to 64,female,2014,12.5,,-0.1
60 to 64,female,2015,11.9,,60 to 64,female,2015,11.9,,0
60 to 64,female,2016,11.1,,60 to 64,female,2016,11.2,,0.1
60 to 64,female,2017,10.4,,60 to 64,female,2017,10.6,,0.2
60 to 64,female,2018,9.8,,60 to 64,female,2018,10,,0.2
60 to 64,female,2019,9.3,,60 to 64,female,2019,9.5,,0.2
65 to 69,female,2000,19.7,,65 to 69,female,2000,19.9,,0.2
65 to 69,female,2001,18.4,,65 to 69,female,2001,18.6,,0.2
65 to 69,female,2002,19.7,,65 to 69,female,2002,19.9,,0.2
65 to 69,female,2003,20.7,,65 to 69,female,2003,20.8,,0.1
65 to 69,female,2004,18,,65 to 69,female,2004,18.1,,0.1
65 to 69,female,2005,15.8,,65 to 69,female,2005,15.9,,0.1
65 to 69,female,2006,17.3,,65 to 69,female,2006,17.7,,0.4
65 to 69,female,2007,18.6,,65 to 69,female,2007,18.9,,0.3
65 to 69,female,2008,18.3,,65 to 69,female,2008,18.6,,0.3
65 to 69,female,2009,18,,65 to 69,female,2009,18.4,,0.4
65 to 69,female,2010,18.5,,65 to 69,female,2010,18.7,,0.2
65 to 69,female,2011,17.9,,65 to 69,female,2011,17.9,,0
65 to 69,female,2012,15.9,,65 to 69,female,2012,16.3,,0.4
65 to 69,female,2013,15.8,,65 to 69,female,2013,16.2,,0.4
65 to 69,female,2014,15.6,,65 to 69,female,2014,16,,0.4
65 to 69,female,2015,12.7,,65 to 69,female,2015,13.1,,0.4
65 to 69,female,2016,12,,65 to 69,female,2016,12.4,,0.4
65 to 69,female,2017,10.7,,65 to 69,female,2017,10.8,,0.1
65 to 69,female,2018,11.1,,65 to 69,female,2018,11.3,,0.2
65 to 69,female,2019,10.2,,65 to 69,female,2019,10.3,,0.1
70 to 74,female,2000,21.4,,70 to 74,female,2000,21.7,,0.3
70 to 74,female,2001,20.6,,70 to 74,female,2001,20.9,,0.3
70 to 74,female,2002,19.4,,70 to 74,female,2002,19.7,,0.3
70 to 74,female,2003,21.1,,70 to 74,female,2003,21.4,,0.3
70 to 74,female,2004,18.8,,70 to 74,female,2004,19,,0.2
70 to 74,female,2005,17,,70 to 74,female,2005,17.2,,0.2
70 to 74,female,2006,18.2,,70 to 74,female,2006,18.5,,0.3
70 to 74,female,2007,19.8,,70 to 74,female,2007,20,,0.2
70 to 74,female,2008,17.8,,70 to 74,female,2008,18,,0.2
70 to 74,female,2009,17.5,,70 to 74,female,2009,17.6,,0.1
70 to 74,female,2010,17.5,,70 to 74,female,2010,17.8,,0.3
70 to 74,female,2011,17.7,,70 to 74,female,2011,18.2,,0.5
70 to 74,female,2012,17.6,,70 to 74,female,2012,18,,0.4
70 to 74,female,2013,17.1,,70 to 74,female,2013,17.6,,0.5
70 to 74,female,2014,15.9,,70 to 74,female,2014,16.5,,0.6
70 to 74,female,2015,16,,70 to 74,female,2015,16.3,,0.3
70 to 74,female,2016,14.5,,70 to 74,female,2016,14.7,,0.2
70 to 74,female,2017,13.4,,70 to 74,female,2017,14,,0.6
70 to 74,female,2018,12,,70 to 74,female,2018,12.5,,0.5
70 to 74,female,2019,11.3,,70 to 74,female,2019,11.9,,0.6
75 to 79,female,2000,26.2,,75 to 79,female,2000,26.8,,0.6
75 to 79,female,2001,22.6,,75 to 79,female,2001,23.1,,0.5
75 to 79,female,2002,21.8,,75 to 79,female,2002,22.3,,0.5
75 to 79,female,2003,20.9,,75 to 79,female,2003,21.3,,0.4
75 to 79,female,2004,19.2,,75 to 79,female,2004,19.6,,0.4
75 to 79,female,2005,19.6,,75 to 79,female,2005,20,,0.4
75 to 79,female,2006,19.3,,75 to 79,female,2006,19.6,,0.3
75 to 79,female,2007,18.7,,75 to 79,female,2007,19.1,,0.4
75 to 79,female,2008,19.3,,75 to 79,female,2008,19.7,,0.4
75 to 79,female,2009,19,,75 to 79,female,2009,19.3,,0.3
75 to 79,female,2010,18.3,,75 to 79,female,2010,18.8,,0.5
75 to 79,female,2011,19,,75 to 79,female,2011,19.5,,0.5
75 to 79,female,2012,17.4,,75 to 79,female,2012,17.9,,0.5
75 to 79,female,2013,18,,75 to 79,female,2013,18.5,,0.5
75 to 79,female,2014,16.4,,75 to 79,female,2014,16.9,,0.5
75 to 79,female,2015,15.1,,75 to 79,female,2015,15.7,,0.6
75 to 79,female,2016,13.5,,75 to 79,female,2016,14.2,,0.7
75 to 79,female,2017,12.5,,75 to 79,female,2017,13,,0.5
75 to 79,female,2018,12.5,,75 to 79,female,2018,13.2,,0.7
75 to 79,female,2019,11.2,,75 to 79,female,2019,11.9,,0.7
80 to 84,female,2000,32.8,,80 to 84,female,2000,34.3,,1.5
80 to 84,female,2001,28.8,,80 to 84,female,2001,29.9,,1.1
80 to 84,female,2002,25.4,,80 to 84,female,2002,26.3,,0.9
80 to 84,female,2003,25.5,,80 to 84,female,2003,26.4,,0.9
80 to 84,female,2004,25.5,,80 to 84,female,2004,26.5,,1
80 to 84,female,2005,22.4,,80 to 84,female,2005,23.2,,0.8
80 to 84,female,2006,22.3,,80 to 84,female,2006,23.3,,1
80 to 84,female,2007,20.5,,80 to 84,female,2007,21.4,,0.9
80 to 84,female,2008,20.4,,80 to 84,female,2008,21.4,,1
80 to 84,female,2009,18.5,,80 to 84,female,2009,19.3,,0.8
80 to 84,female,2010,18.9,,80 to 84,female,2010,19.9,,1
80 to 84,female,2011,19.7,,80 to 84,female,2011,20.7,,1
80 to 84,female,2012,16.6,,80 to 84,female,2012,17.5,,0.9
80 to 84,female,2013,18,,80 to 84,female,2013,19,,1
80 to 84,female,2014,17.2,,80 to 84,female,2014,18.2,,1
80 to 84,female,2015,15.8,,80 to 84,female,2015,17,,1.2
80 to 84,female,2016,13.9,,80 to 84,female,2016,15,,1.1
80 to 84,female,2017,13.6,,80 to 84,female,2017,14.6,,1
80 to 84,female,2018,13,,80 to 84,female,2018,14.1,,1.1
80 to 84,female,2019,13,,80 to 84,female,2019,14.1,,1.1
85 to 89,female,2000,36.2,,85 to 89,female,2000,39.2,,3
85 to 89,female,2001,35.8,,85 to 89,female,2001,38.6,,2.8
85 to 89,female,2002,33,,85 to 89,female,2002,35.4,,2.4
85 to 89,female,2003,30.3,,85 to 89,female,2003,32.3,,2
85 to 89,female,2004,26.7,,85 to 89,female,2004,28.2,,1.5
85 to 89,female,2005,24.7,,85 to 89,female,2005,26.8,,2.1
85 to 89,female,2006,25.2,,85 to 89,female,2006,27.1,,1.9
85 to 89,female,2007,26.8,,85 to 89,female,2007,28.9,,2.1
85 to 89,female,2008,22.7,,85 to 89,female,2008,24.6,,1.9
85 to 89,female,2009,21.9,,85 to 89,female,2009,23.7,,1.8
85 to 89,female,2010,21.1,,85 to 89,female,2010,23,,1.9
85 to 89,female,2011,20,,85 to 89,female,2011,22,,2
85 to 89,female,2012,17.4,,85 to 89,female,2012,19.3,,1.9
85 to 89,female,2013,17.9,,85 to 89,female,2013,20.1,,2.2
85 to 89,female,2014,15.6,,85 to 89,female,2014,17.6,,2
85 to 89,female,2015,14.5,,85 to 89,female,2015,16.5,,2
85 to 89,female,2016,14.3,,85 to 89,female,2016,16.2,,1.9
85 to 89,female,2017,11.5,,85 to 89,female,2017,13.1,,1.6
85 to 89,female,2018,12.6,,85 to 89,female,2018,14.4,,1.8
85 to 89,female,2019,11.1,,85 to 89,female,2019,12.8,,1.7
90 to 94,female,2000,37.4,,90 to 94,female,2000,42.5,,5.1
90 to 94,female,2001,32.4,,90 to 94,female,2001,39.2,,6.8
90 to 94,female,2002,33.6,,90 to 94,female,2002,40.8,,7.2
90 to 94,female,2003,27.4,,90 to 94,female,2003,30.9,,3.5
90 to 94,female,2004,23.4,,90 to 94,female,2004,29.3,,5.9
90 to 94,female,2005,27,,90 to 94,female,2005,31.2,,4.2
90 to 94,female,2006,23.8,,90 to 94,female,2006,27.8,,4
90 to 94,female,2007,26.9,,90 to 94,female,2007,31.3,,4.4
90 to 94,female,2008,22.5,,90 to 94,female,2008,26.2,,3.7
90 to 94,female,2009,21.7,,90 to 94,female,2009,25.1,,3.4
90 to 94,female,2010,20.9,,90 to 94,female,2010,24.7,,3.8
90 to 94,female,2011,19.1,,90 to 94,female,2011,22.5,,3.4
90 to 94,female,2012,18.3,,90 to 94,female,2012,21.9,,3.6
90 to 94,female,2013,18.3,,90 to 94,female,2013,22.2,,3.9
90 to 94,female,2014,14.7,,90 to 94,female,2014,18.1,,3.4
90 to 94,female,2015,15,,90 to 94,female,2015,18.3,,3.3
90 to 94,female,2016,12.8,,90 to 94,female,2016,15.9,,3.1
90 to 94,female,2017,12.7,,90 to 94,female,2017,16,,3.3
90 to 94,female,2018,12,,90 to 94,female,2018,15.3,,3.3
90 to 94,female,2019,8.5,,90 to 94,female,2019,10.9,,2.4
95 to 99,female,2000,,,95 to 99,female,2000,55.6,,
95 to 99,female,2001,,,95 to 99,female,2001,36,,
95 to 99,female,2002,,,95 to 99,female,2002,40.3,,
95 to 99,female,2003,,,95 to 99,female,2003,39.8,,
95 to 99,female,2004,...,,95 to 99,female,2004,24.2,,
95 to 99,female,2005,17.7,,95 to 99,female,2005,22.3,,4.6
95 to 99,female,2006,15.8,,95 to 99,female,2006,20.1,,4.3
95 to 99,female,2007,16.7,,95 to 99,female,2007,21.6,,4.9
95 to 99,female,2008,13.9,,95 to 99,female,2008,18.5,,4.6
95 to 99,female,2009,13.5,,95 to 99,female,2009,18.4,,4.9
95 to 99,female,2010,15.3,,95 to 99,female,2010,19,,3.7
95 to 99,female,2011,17.1,,95 to 99,female,2011,21.8,,4.7
95 to 99,female,2012,17.4,,95 to 99,female,2012,,,
95 to 99,female,2013,15,,95 to 99,female,2013,,,
95 to 99,female,2014,15.9,,95 to 99,female,2014,,,
95 to 99,female,2015,13.1,,95 to 99,female,2015,,,
95 to 99,female,2016,8.5,,95 to 99,female,2016,,,
95 to 99,female,2017,13.5,,95 to 99,female,2017,,,
95 to 99,female,2018,9.9,,95 to 99,female,2018,,,
95 to 99,female,2019,6.4,,95 to 99,female,2019,,,
100+,female,2000,,,100+,female,2000,13,,
100+,female,2001,,,100+,female,2001,22.1,,
100+,female,2002,,,100+,female,2002,0,,
100+,female,2003,,,100+,female,2003,23.8,,
100+,female,2004,...,,100+,female,2004,7.1,,
100+,female,2005,4.6,,100+,female,2005,6.4,,1.8
100+,female,2006,20.8,,100+,female,2006,29.4,,8.6
100+,female,2007,13.3,,100+,female,2007,20.6,,7.3
100+,female,2008,8.6,,100+,female,2008,13.9,,5.3
100+,female,2009,7.3,,100+,female,2009,12.3,,5
100+,female,2010,10.5,,100+,female,2010,15.1,,4.6
100+,female,2011,2.5,,100+,female,2011,3.5,,1
100+,female,2012,9.1,,100+,female,2012,,,
100+,female,2013,6.3,,100+,female,2013,,,
100+,female,2014,7.8,,100+,female,2014,,,
100+,female,2015,9.4,,100+,female,2015,,,
100+,female,2016,7,,100+,female,2016,,,
100+,female,2017,13.6,,100+,female,2017,,,
100+,female,2018,11.7,,100+,female,2018,,,
100+,female,2019,5,,100+,female,2019,,,
